product_name,product_price,product_price_new,product_size,product_color,pid,url,currency,new,active,date_scrapped
Commuter 5,949.0,999.0,S,Anchor Grey,50022930_0001061265,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-5/50022930.html,€,False,False,2022-01-02 01:40:25.044773
Commuter 5.0,999.0,1399.0,XS,Stealth,50000429,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-5.0/1955.html?dwvar_1955_pv_rahmenfarbe=BK,€,False,False,2022-01-02 01:40:25.044773
Pathlite 6 WMN,1119.0,1199.0,XS,Light Grey,50019007_0001060672,https://www.canyon.com/fr-be/outlet/fitness-bikes/pathlite-6-wmn/50019007.html,€,False,False,2022-01-02 01:40:25.044773
Commuter 6.0,1199.0,1699.0,XS,grey,50000444,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-6.0/1956.html?dwvar_1956_pv_rahmenfarbe=GY,€,False,False,2022-01-02 01:40:25.044773
Commuter 6 WMN,1319.0,1399.0,M,Anchor Grey,50022061_0001060775,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-6-wmn/50022061.html,€,False,False,2022-01-02 01:40:25.044773
Grand Canyon 8 WMN,1349.0,1399.0,2XS,Unicorn White,50019784_0001060874,https://www.canyon.com/fr-be/promo-velos/vtt/grand-canyon-8-wmn/50019784.html,€,False,False,2022-01-02 01:40:25.044773
Roadlite 7,1419.0,1499.0,S,Shadow Grey,50019761_0001061105,https://www.canyon.com/fr-be/outlet/fitness-bikes/roadlite-7/50019761.html,€,False,False,2022-01-02 01:40:25.044773
Pathlite 7,1549.0,1599.0,2XL,Shadow Grey,50024554_0001060133,https://www.canyon.com/fr-be/outlet/fitness-bikes/pathlite-7/50024554.html,€,False,False,2022-01-02 01:40:25.044773
Commuter 7 WMN,1599.0,1699.0,S,Champagne,50023049_0001060885,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-7-wmn/50023049.html,€,False,False,2022-01-02 01:40:25.044773
Grand Canyon:ON 7,2849.0,2899.0,M,Positive Red,50024653_0001061059,https://www.canyon.com/fr-be/promo-velos/electriques/grand-canyon-on-7/50024653.html,€,False,False,2022-01-02 01:40:25.044773
Grand Canyon:ON 7,2849.0,2899.0,L,Flash Black,50026578_0001061152,https://www.canyon.com/fr-be/promo-velos/electriques/grand-canyon-on-7/50026578.html,€,False,False,2022-01-02 01:40:25.044773
Commuter:ON 7,3049.0,3299.0,L,Dark Navy,50022901_0001061078,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-on-7/50022901.html,€,False,False,2022-01-02 01:40:25.044773
Commuter:ON 7,3149.0,3299.0,XL,Dark Navy,50022081_0001061184,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-on-7/50022081.html,€,False,False,2022-01-02 01:40:25.044773
Commuter:ON 7 WMN,3149.0,3299.0,M,Champagne,50023475_0001060271,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-on-7-wmn/50023475.html,€,False,False,2022-01-02 01:40:25.044773
Commuter:ON 7 WMN,3149.0,3299.0,S,Champagne,50023141_0001060635,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-on-7-wmn/50023141.html,€,False,False,2022-01-02 01:40:25.044773
Commuter:ON 7,3149.0,3299.0,L,Champagne,50024790_0001061178,https://www.canyon.com/fr-be/outlet/urban-bikes/commuter-on-7/50024790.html,€,False,False,2022-01-02 01:40:25.044773
Roadlite:ON 7,3149.0,3399.0,M,Light Grey,50023722_0001060111,https://www.canyon.com/fr-be/outlet/fitness-bikes/roadlite-on-7/50023722.html,€,False,False,2022-01-02 01:40:25.044773
Precede:ON CF 8 ST,3749.0,4299.0,S,Champagne,50023052_0001060632,https://www.canyon.com/fr-be/outlet/urban-bikes/precede-on-cf-8-st/50023052.html,€,False,False,2022-01-02 01:40:25.044773
Precede:ON CF 8,3749.0,4299.0,L,Anchor Grey,50019446_0001060958,https://www.canyon.com/fr-be/outlet/urban-bikes/precede-on-cf-8/50019446.html,€,False,False,2022-01-02 01:40:25.044773
Precede:ON CF 8 ST,3899.0,4299.0,M,Anchor Grey,50019423_0001060767,https://www.canyon.com/fr-be/outlet/urban-bikes/precede-on-cf-8-st/50019423.html,€,False,False,2022-01-02 01:40:25.044773
